Chick_ID,Chick,Latency,Treatment_ID,Treatment
1,Chick01,4,1,Control
1,Chick01,1,2,Colour
3,Chick03,3,2,Colour
4,Chick04,2,1,Control
4,Chick04,7,2,Colour
5,Chick05,7,1,Control
5,Chick05,3,2,Colour
7,Chick07,7,1,Control
7,Chick07,3,2,Colour
8,Chick08,16,2,Colour
9,Chick09,17,1,Control
9,Chick09,3,2,Colour
10,Chick10,10,1,Control
10,Chick10,2,2,Colour
11,Chick11,20,1,Control
11,Chick11,3,2,Colour
15,Chick15,4,1,Control
15,Chick15,12,2,Colour
16,Chick16,7,1,Control
16,Chick16,3,2,Colour
17,Chick17,6,2,Colour
18,Chick18,3,1,Control
18,Chick18,2,2,Colour
19,Chick19,4,1,Control
19,Chick19,3,2,Colour
20,Chick20,3,1,Control
20,Chick20,6,2,Colour
